ID_Asiento,Fecha_Transaccion,ID_Cuenta,Concepto,Debito,Credito
1,2020-01-01,1004,Venta #652 - Cliente #15,2716.8,0.0
1,2020-01-01,4001,Venta #652 - Cliente #15 (incluye IVA),0.0,2716.8
2,2020-01-01,5001,Costo de Venta #652,383.04,0.0
2,2020-01-01,1005,Costo de Venta #652 - Ajuste de inventario,0.0,383.04
2001,2020-01-01,5005,Gastos administrativos del mes,74747.93,0.0
2001,2020-01-01,1002,Pago de gastos administrativos del mes,0.0,74747.93
2002,2020-01-01,5006,Gastos de venta del mes,112121.9,0.0
2002,2020-01-01,1002,Pago de gastos de venta del mes,0.0,112121.9
3,2020-01-02,1004,Venta #208 - Cliente #97,41064.39,0.0
3,2020-01-02,4001,Venta #208 - Cliente #97 (incluye IVA),0.0,41064.39
4,2020-01-02,5001,Costo de Venta #208,6473.52,0.0
4,2020-01-02,1005,Costo de Venta #208 - Ajuste de inventario,0.0,6473.52
5,2020-01-02,1004,Venta #298 - Cliente #49,415.12,0.0
5,2020-01-02,4001,Venta #298 - Cliente #49 (incluye IVA),0.0,415.12
6,2020-01-02,5001,Costo de Venta #298,71.94,0.0
6,2020-01-02,1005,Costo de Venta #298 - Ajuste de inventario,0.0,71.94
2597,2020-01-02,1002,Cobro venta #208,41064.39,0.0
2597,2020-01-02,1004,Cobro venta #208,0.0,41064.39
7,2020-01-03,1004,Venta #923 - Cliente #54,39323.48,0.0
7,2020-01-03,4001,Venta #923 - Cliente #54 (incluye IVA),0.0,39323.48
8,2020-01-03,5001,Costo de Venta #923,6255.95,0.0
8,2020-01-03,1005,Costo de Venta #923 - Ajuste de inventario,0.0,6255.95
9,2020-01-03,1004,Venta #131 - Cliente #45,6420.16,0.0
9,2020-01-03,4001,Venta #131 - Cliente #45 (incluye IVA),0.0,6420.16
10,2020-01-03,5001,Costo de Venta #131,1021.38,0.0
10,2020-01-03,1005,Costo de Venta #131 - Ajuste de inventario,0.0,1021.38
11,2020-01-03,1004,Venta #737 - Cliente #94,37242.48,0.0
11,2020-01-03,4001,Venta #737 - Cliente #94 (incluye IVA),0.0,37242.48
12,2020-01-03,5001,Costo de Venta #737,5973.56,0.0
12,2020-01-03,1005,Costo de Venta #737 - Ajuste de inventario,0.0,5973.56
13,2020-01-03,1004,Venta #146 - Cliente #32,555.78,0.0
13,2020-01-03,4001,Venta #146 - Cliente #32 (incluye IVA),0.0,555.78
14,2020-01-03,5001,Costo de Venta #146,75.33,0.0
14,2020-01-03,1005,Costo de Venta #146 - Ajuste de inventario,0.0,75.33
2598,2020-01-04,5005,Mantenimiento,1342.84,0.0
2598,2020-01-04,1002,Mantenimiento,0.0,1342.84
15,2020-01-05,1004,Venta #732 - Cliente #84,10205.36,0.0
15,2020-01-05,4001,Venta #732 - Cliente #84 (incluye IVA),0.0,10205.36
16,2020-01-05,5001,Costo de Venta #732,1736.34,0.0
16,2020-01-05,1005,Costo de Venta #732 - Ajuste de inventario,0.0,1736.34
2599,2020-01-05,1002,Cobro venta #146,555.78,0.0
2599,2020-01-05,1004,Cobro venta #146,0.0,555.78
2097,2020-01-06,1005,Compra #121 - Producto #32,31201.3,0.0
2097,2020-01-06,1006,IVA por Compra #121,5943.1,0.0
2097,2020-01-06,2001,Compra #121 - Producto #32,0.0,37144.4
2098,2020-01-06,1005,Compra #26 - Producto #14,17684.4,0.0
2098,2020-01-06,1006,IVA por Compra #26,3368.46,0.0
2098,2020-01-06,2001,Compra #26 - Producto #14,0.0,21052.86
2099,2020-01-07,1005,Compra #233 - Producto #46,6061.3,0.0
2099,2020-01-07,1006,IVA por Compra #233,1154.53,0.0
2099,2020-01-07,2001,Compra #233 - Producto #46,0.0,7215.83
2600,2020-01-07,1002,Cobro venta #298,415.12,0.0
2600,2020-01-07,1004,Cobro venta #298,0.0,415.12
2601,2020-01-08,1002,Cobro venta #737,37242.48,0.0
2601,2020-01-08,1004,Cobro venta #737,0.0,37242.48
2602,2020-01-08,1002,Cobro venta #652,2716.8,0.0
2602,2020-01-08,1004,Cobro venta #652,0.0,2716.8
2603,2020-01-09,5005,Mantenimiento,14932.28,0.0
2603,2020-01-09,1002,Mantenimiento,0.0,14932.28
17,2020-01-10,1004,Venta #791 - Cliente #86,4119.48,0.0
17,2020-01-10,4001,Venta #791 - Cliente #86 (incluye IVA),0.0,4119.48
18,2020-01-10,5001,Costo de Venta #791,631.91,0.0
18,2020-01-10,1005,Costo de Venta #791 - Ajuste de inventario,0.0,631.91
2604,2020-01-10,1002,Cobro venta #732,10205.36,0.0
2604,2020-01-10,1004,Cobro venta #732,0.0,10205.36
19,2020-01-11,1004,Venta #93 - Cliente #36,229165.92,0.0
19,2020-01-11,4001,Venta #93 - Cliente #36 (incluye IVA),0.0,229165.92
20,2020-01-11,5001,Costo de Venta #93,35635.68,0.0
20,2020-01-11,1005,Costo de Venta #93 - Ajuste de inventario,0.0,35635.68
21,2020-01-12,1004,Venta #714 - Cliente #16,611.5,0.0
21,2020-01-12,4001,Venta #714 - Cliente #16 (incluye IVA),0.0,611.5
22,2020-01-12,5001,Costo de Venta #714,106.98,0.0
22,2020-01-12,1005,Costo de Venta #714 - Ajuste de inventario,0.0,106.98
23,2020-01-12,1004,Venta #287 - Cliente #5,6695.0,0.0
23,2020-01-12,4001,Venta #287 - Cliente #5 (incluye IVA),0.0,6695.0
24,2020-01-12,5001,Costo de Venta #287,1167.0,0.0
24,2020-01-12,1005,Costo de Venta #287 - Ajuste de inventario,0.0,1167.0
2605,2020-01-12,1002,Cobro venta #131,6420.16,0.0
2605,2020-01-12,1004,Cobro venta #131,0.0,6420.16
2100,2020-01-13,1005,Compra #39 - Producto #32,48101.78,0.0
2100,2020-01-13,1006,IVA por Compra #39,9162.24,0.0
2100,2020-01-13,2001,Compra #39 - Producto #32,0.0,57264.02
2606,2020-01-13,2001,Pago compra #39,57264.02,0.0
2606,2020-01-13,1002,Pago compra #39,0.0,57264.02
2607,2020-01-14,1002,Cobro venta #923,39323.48,0.0
2607,2020-01-14,1004,Cobro venta #923,0.0,39323.48
